City,Country,Weather,Temperature (C)
Zumbi,BR,Clouds,24
Xexéu,BR,Clouds,24
Xarqueada,BR,Clouds,34
Xambioá,BR,Clouds,30
Vitorino Freire,BR,Clouds,27
Vitória do Mearim,BR,Clouds,28
Vitória de Santo Antão,BR,Clouds,26
Viseu,BR,Clouds,26
Vinhais,BR,Clouds,31
Conde,BR,Clouds,27
Vigia,BR,Clouds,27
Viçosa do Ceará,BR,Clouds,26
Viçosa,BR,Clouds,22
Vicência,BR,Clouds,24
Viana,BR,Clouds,28
Vertentes,BR,Clouds,23
Icaraí,BR,Clouds,28
Vera Cruz,BR,Clouds,29
Veados,BR,Clouds,31
Várzea Alegre,BR,Clouds,31
Varjota,BR,Clouds,31
Varginha,BR,Clouds,28
Vargem Grande,BR,Clouds,29
Valha-me Deus,BR,Clouds,26
Valença do Piauí,BR,Clouds,33
Val de Cães,BR,Clouds,28
Uruoca,BR,Clouds,29
Urucurituba,BR,Clouds,29
Uruçu mirim,BR,Clouds,21
Uruçuí,BR,Clear,35
Urucará,BR,Clouds,28
Uruburetama,BR,Clouds,26
Urbano Santos,BR,Clouds,30
Upanema,BR,Clouds,31
União dos Palmares,BR,Clouds,23
União,BR,Clouds,32
Umirim,BR,Clouds,28
Umbuzeiro,BR,Clouds,22
Umbus,BR,Clouds,31
Umarizal,BR,Clouds,30
Uiraúna,BR,Clouds,30
Ubajara,BR,Clouds,26
Uauá,BR,Clouds,26
Tutóia,BR,Clouds,28
Turiaçu,BR,Clouds,26
Tuparetama,BR,Clouds,26
Tupanatinga,BR,Clouds,21
Tuntum,BR,Clouds,30
Tucuruí,BR,Clouds,30
Tucumã,BR,Rain,27
Triunfo,BR,Clouds,31
Trindade,BR,Clouds,26
Triângulo,BR,Clouds,31
Travessada,BR,Clouds,23
Trairi,BR,Clear,27
Traipu,BR,Rain,24
Tracunhaém,BR,Clear,24
Tracuateua,BR,Clouds,26
Touros,BR,Clouds,27
Tôrre Segura,BR,Clouds,34
Tôrres,BR,Clouds,22
Torrão,BR,Clouds,29
Toritama,BR,Clouds,23
Tomé Açu,BR,Rain,27
Tirirical,BR,Clouds,31
Tiradentes,BR,Clear,30
Timon,BR,Clouds,34
Timbó,BR,Clear,29
Timbiras,BR,Clouds,30
Timbaúba,BR,Clouds,24
Tibau,BR,Clouds,27
Tianguá,BR,Clear,26
Terra Vermelha,BR,Clouds,25
Terra Santa,BR,Clouds,31
Teresinha,BR,Rain,27
Teresina,BR,Clouds,34
Tenente Ananias,BR,Clouds,30
Teixeira,BR,Clouds,26
Tavares,BR,Clouds,26
São João dos Inhamuns,BR,Clouds,32
Tauá,BR,Clouds,32
Taquaritinga do Norte,BR,Clouds,22
Taquarana,BR,Clouds,23
Tapuio,BR,Clouds,29
Taperoá,BR,Clouds,26
Tapera,BR,Clouds,25
Tapada,BR,Clouds,23
Tangará,BR,Clouds,27
Tamboril,BR,Clouds,30
Tamandaré,BR,Clouds,25
Taipu,BR,Clouds,27
Tacima,BR,Clouds,25
Tacaratu,BR,Clouds,24
Tacaimbó,BR,Clouds,23
Tabuleiro do Norte,BR,Clouds,31
Tabira,BR,Clouds,26
Surubim,BR,Clouds,23
Sumé,BR,Clouds,25
Sousa,BR,Clouds,32
Soure,BR,Clouds,27
